image_path,output
train/21651.jpg,"[[{""label"": ""Bora Bo\nCAFE"", ""shape"": ""rectangle"", ""left"": 0.061016949152542375, ""top"": 0.017543859649122806, ""width"": 0.8711864406779661, ""height"": 0.9707602339181288}]]"
train/15110.jpg,"[[{""left"": 0.15575221238938053, ""top"": 0.30092592592592593, ""width"": 0.39292035398230085, ""height"": 0.09490740740740738, ""label"": ""Виктор и Мария"", ""shape"": ""rectangle""}, {""left"": 0.5575221238938053, ""top"": 0.33796296296296297, ""width"": 0.04070796460176995, ""height"": 0.07870370370370372, ""label"": ""т"", ""shape"": ""rectangle""}, {""left"": 0.6495575221238938, ""top"": 0.3449074074074074, ""width"": 0.15752212389380527, ""height"": 0.07870370370370372, ""label"": ""Мария"", ""shape"": ""rectangle""}]]"
train/19118.jpg,"[[{""left"": 0.17537313432835822, ""top"": 0.2127659574468085, ""width"": 0.7388059701492538, ""height"": 0.32978723404255317, ""label"": ""Рядом с Вами!\nАНГЛИЙСКИЙ \nЯЗЫК"", ""shape"": ""rectangle""}, {""left"": 0.17537313432835822, ""top"": 0.5425531914893617, ""width"": 0.7052238805970149, ""height"": 0.3297872340425533, ""label"": ""2500 рублей в месяц\n495 458-84-28\nWWW.PECENTRE.RU"", ""shape"": ""rectangle""}]]"
train/23002.jpg,"[[{""left"": -1, ""top"": 0, ""width"": 636, ""height"": 53, ""label"": ""Стирка Отбеливание Сушка в барабанной сушилке Глажение Профессиональная чистка"", ""shape"": ""rectangle""}, {""left"": 6, ""top"": 126, ""width"": 629, ""height"": 83, ""label"": ""Дополнительно к каждому из шести знаков может наноситься информация об обработке:\nЗапрещена Умеренная Очень мягкая"", ""shape"": ""rectangle""}, {""left"": 9, ""top"": 292, ""width"": 622, ""height"": 118, ""label"": ""В дополнение к трем символам стирка, сушка и глажение указывают возможный\nтемпературный режим, C:\nот 20 до 30 не более 40 не более 50 не более 60 не более 70 не более 95"", ""shape"": ""rectangle""}]]"
train/15268.jpg,"[[{""left"": 0.28888888888888886, ""top"": 0.28888888888888886, ""width"": 0.45333333333333337, ""height"": 0.24444444444444446, ""label"": ""GEROY IN\nYOUR LIFE"", ""shape"": ""rectangle""}]]"
train/01362.jpg,"[[{""left"": 0.4555984555984556, ""top"": 0.30412371134020616, ""width"": 0.20077220077220082, ""height"": 0.21134020618556698, ""label"": ""Crazy \\/ Bunny"", ""shape"": ""rectangle""}]]"
train/36203.jpg,"[[{""left"": 0.6048177083333334, ""top"": 0.2916666666666667, ""width"": 0.09505208333333326, ""height"": 0.09077380952380948, ""label"": ""РЕСТОРАН"", ""shape"": ""rectangle""}, {""left"": 0.7467447916666666, ""top"": 0.16666666666666666, ""width"": 0.22135416666666674, ""height"": 0.19196428571428573, ""label"": ""Марчеллис"", ""shape"": ""rectangle""}]]"
train/21831.jpg,"[[{""left"": 0.39501779359430605, ""top"": 0.1452513966480447, ""width"": 0.19572953736654802, ""height"": 0.12290502793296088, ""label"": ""Алькор"", ""shape"": ""rectangle""}, {""left"": 0.5587188612099644, ""top"": 0.5642458100558659, ""width"": 0.13523131672597866, ""height"": 0.14525139664804465, ""label"": ""БАННЕРЫ"", ""shape"": ""rectangle""}, {""left"": 0.5409252669039146, ""top"": 0.44692737430167595, ""width"": 0.11743772241992878, ""height"": 0.08938547486033521, ""label"": ""СВЕТОВОЙ"", ""shape"": ""rectangle""}, {""left"": 0.19217081850533807, ""top"": 0.4134078212290503, ""width"": 0.3202846975088968, ""height"": 0.12290502793296088, ""label"": ""ОБЪЁМНЫЕ БУКВЫ"", ""shape"": ""rectangle""}]]"
train/34192.jpg,"[[{""left"": 0.5423177083333334, ""top"": 0.3209509658246657, ""width"": 0.29622395833333326, ""height"": 0.19167904903417526, ""label"": ""КОФЕЙНЯ"", ""shape"": ""rectangle""}]]"
train/07030.jpg,"[[{""left"": 0.32209737827715357, ""top"": 0.15343915343915343, ""width"": 0.32958801498127344, ""height"": 0.21693121693121692, ""label"": ""TwinsDay"", ""shape"": ""rectangle""}, {""left"": 0.299625468164794, ""top"": 0.3862433862433862, ""width"": 0.38202247191011235, ""height"": 0.16931216931216936, ""label"": ""MEDOFF"", ""shape"": ""rectangle""}]]"
train/16252.jpg,"[[{""left"": 0.17333333333333334, ""top"": 0.20444444444444446, ""width"": 0.7066666666666667, ""height"": 0.2666666666666666, ""label"": ""КОМПАНИЯ"", ""shape"": ""rectangle""}, {""left"": 0.2577777777777778, ""top"": 0.5377777777777778, ""width"": 0.5244444444444445, ""height"": 0.29333333333333333, ""label"": ""и\nМАРВЕЛ"", ""shape"": ""rectangle""}]]"
train/37301.jpg,"[[{""label"": ""Я, Энди Уорхол\nЭНДИ УОРХОЛА"", ""shape"": ""rectangle"", ""left"": 0.27683738425925924, ""top"": 0.03951719576719575, ""width"": 0.232421875, ""height"": 0.19692460317460314}, {""label"": ""Я, Энди\nВЫСТАВКА РАБОТ ЭНДИ УОРХОЛА"", ""shape"": ""rectangle"", ""left"": 0.2975983796296296, ""top"": 0.1357473544973546, ""width"": 0.21614583333333334, ""height"": 0.15178571428571427}]]"
train/31978.jpg,"[[{""left"": 0.012369791666666666, ""top"": 0.5127118644067796, ""width"": 0.2552083333333333, ""height"": 0.06497175141242939, ""label"": ""ТАБАКЦВЕТЫ"", ""shape"": ""rectangle""}, {""left"": 0.022786458333333332, ""top"": 0.6002824858757062, ""width"": 0.03580729166666667, ""height"": 0.02401129943502822, ""label"": ""ТАБАК"", ""shape"": ""rectangle""}]]"
train/22594.jpg,"[[{""left"": 0.827, ""top"": 0.884, ""width"": 0.1705000000000001, ""height"": 0.11399999999999999, ""label"": ""59 RU"", ""shape"": ""rectangle""}, {""left"": 0.2885, ""top"": 0.24866666666666667, ""width"": 0.504, ""height"": 0.14866666666666664, ""label"": ""ММП РСФСР\nГлавное управление по производству\nмузыкальных инструментов"", ""shape"": ""rectangle""}, {""left"": 0.3175, ""top"": 0.4033333333333333, ""width"": 0.488, ""height"": 0.14, ""label"": ""ПЕРМСКОЕ\nПРОИЗВОДСТВЕННОЕ\nМУЗОБЪЕДИНЕНИЕ\nКАМА"", ""shape"": ""rectangle""}, {""left"": 0.298, ""top"": 0.5506666666666666, ""width"": 0.5, ""height"": 0.1213333333333334, ""label"": ""ПИАНИНО\nМОДЕЛЬ ЧАЙКА\nРСТ РСФСР 82-70"", ""shape"": ""rectangle""}, {""left"": 0.3935, ""top"": 0.6793333333333333, ""width"": 0.11799999999999994, ""height"": 0.05266666666666664, ""label"": ""Арт.30"", ""shape"": ""rectangle""}, {""left"": 0.547, ""top"": 0.678, ""width"": 0.16499999999999992, ""height"": 0.05399999999999994, ""label"": ""Цена 550руб."", ""shape"": ""rectangle""}, {""left"": 0.462, ""top"": 0.7393333333333333, ""width"": 0.15250000000000002, ""height"": 0.06266666666666676, ""label"": ""г. Пермь"", ""shape"": ""rectangle""}]]"
train/06383.jpg,"[[{""left"": 0.4622222222222222, ""top"": 0.35555555555555557, ""width"": 0.4933333333333334, ""height"": 0.35999999999999993, ""label"": ""Banner"", ""shape"": ""rectangle""}]]"
train/15225.jpg,"[[{""left"": 0.23555555555555555, ""top"": 0.19555555555555557, ""width"": 0.5022222222222222, ""height"": 0.48444444444444446, ""label"": ""я на этой\nпланете\nс 1974"", ""shape"": ""rectangle""}]]"
train/02470.jpg,"[[{""left"": 0, ""top"": 0.10309278350515463, ""width"": 0.8, ""height"": 0.8762886597938144, ""label"": ""ОПТИК"", ""shape"": ""rectangle""}]]"
